Id,IndicatorCode,SpatialDimType,CountryCode,TimeDimType,Year,Dim1Type,Sex,LifeExpectancy
81080,WHOSIS_000001,COUNTRY,FJI,YEAR,2012,SEX,SEX_MLE,65.6
81976,WHOSIS_000001,COUNTRY,SLB,YEAR,2013,SEX,SEX_MLE,62.5
83210,WHOSIS_000001,COUNTRY,ATG,YEAR,2018,SEX,SEX_MLE,74.0
83442,WHOSIS_000001,COUNTRY,LBN,YEAR,2018,SEX,SEX_BTSX,79.4
85983,WHOSIS_000001,COUNTRY,HRV,YEAR,2003,SEX,SEX_BTSX,74.9
86172,WHOSIS_000001,COUNTRY,LTU,YEAR,2003,SEX,SEX_BTSX,71.8
87571,WHOSIS_000001,COUNTRY,BFA,YEAR,2010,SEX,SEX_MLE,56.5
87745,WHOSIS_000001,COUNTRY,SAU,YEAR,2000,SEX,SEX_MLE,69.4
87841,WHOSIS_000001,COUNTRY,PAK,YEAR,2009,SEX,SEX_BTSX,63.9
87906,WHOSIS_000001,COUNTRY,KIR,YEAR,2011,SEX,SEX_MLE,58.2
88291,WHOSIS_000001,COUNTRY,GRD,YEAR,2008,SEX,SEX_BTSX,70.9
88643,WHOSIS_000001,COUNTRY,DZA,YEAR,2014,SEX,SEX_BTSX,75.9
90617,WHOSIS_000001,COUNTRY,SAU,YEAR,2019,SEX,SEX_MLE,76.5
92275,WHOSIS_000001,COUNTRY,GNB,YEAR,2003,SEX,SEX_BTSX,51.4
